Python 3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: D:\2604-math-under-llm\check_r1_full.py
使用设备: cuda
找到 4 个分片: ['DeepSeek-R1-Distill-Qwen-14B-model-00001-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00002-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00003-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00004-of-000004.safetensors']

开始分析 DeepSeek-R1-Distill-Qwen-14B，共 48 层

[分片 1/4] 加载 DeepSeek-R1-Distill-Qwen-14B-model-00001-of-000004.safetensors ...
  该分片包含的层: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
  将分析层: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]

========== Layer 0 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
  KV头 1 | Q头  9: Pearson=+0.9899 Spearman=+1.0000 α=0.7229(残差=6.41e-03) cos(Uq,Uk)=0.1171 协方差误差=0.9666 SSR=0.006463 σ_max(Q)=3.553 σ_max(K)=4.191 cond(Q)=993.6 cond(K)=417.6
  KV头 2 | Q头 10: Pearson=+0.9536 Spearman=+1.0000 α=0.5050(残差=1.12e-02) cos(Uq,Uk)=0.1330 协方差误差=0.8114 SSR=0.006433 σ_max(Q)=3.121 σ_max(K)=4.199 cond(Q)=1475.1 cond(K)=744.4
  KV头 2 | Q头 11: Pearson=+0.9814 Spearman=+1.0000 α=0.5528(残差=5.39e-03) cos(Uq,Uk)=0.1498 协方差误差=0.8203 SSR=0.005442 σ_max(Q)=2.993 σ_max(K)=4.199 cond(Q)=1699.7 cond(K)=744.4
  KV头 2 | Q头 12: Pearson=+0.9736 Spearman=+1.0000 α=0.8392(残差=2.19e-02) cos(Uq,Uk)=0.1186 协方差误差=0.8383 SSR=0.010758 σ_max(Q)=4.777 σ_max(K)=4.199 cond(Q)=2359.6 cond(K)=744.4
  KV头 2 | Q头 13: Pearson=+0.9536 Spearman=+1.0000 α=0.5213(残差=1.22e-02) cos(Uq,Uk)=0.1451 协方差误差=0.8276 SSR=0.006940 σ_max(Q)=3.256 σ_max(K)=4.199 cond(Q)=1639.2 cond(K)=744.4
  KV头 2 | Q头 14: Pearson=+0.9768 Spearman=+1.0000 α=0.5832(残差=8.30e-03) cos(Uq,Uk)=0.1351 协方差误差=0.8130 SSR=0.008188 σ_max(Q)=3.312 σ_max(K)=4.199 cond(Q)=1831.2 cond(K)=744.4
  KV头 3 | Q头 15: Pearson=+0.9586 Spearman=+1.0000 α=0.5884(残差=1.39e-02) cos(Uq,Uk)=0.1062 协方差误差=0.8492 SSR=0.010804 σ_max(Q)=3.638 σ_max(K)=4.451 cond(Q)=1200.3 cond(K)=676.0
  KV头 3 | Q头 16: Pearson=+0.9881 Spearman=+1.0000 α=0.5940(残差=5.14e-03) cos(Uq,Uk)=0.1326 协方差误差=0.8604 SSR=0.007757 σ_max(Q)=2.842 σ_max(K)=4.451 cond(Q)=1794.4 cond(K)=676.0
  KV头 3 | Q头 17: Pearson=+0.9734 Spearman=+1.0000 α=0.5400(残差=1.06e-02) cos(Uq,Uk)=0.1300 协方差误差=0.9750 SSR=0.012976 σ_max(Q)=2.827 σ_max(K)=4.451 cond(Q)=2028.7 cond(K)=676.0
  KV头 3 | Q头 18: Pearson=+0.9608 Spearman=+1.0000 α=0.4859(残差=1.02e-02) cos(Uq,Uk)=0.1306 协方差误差=0.8813 SSR=0.009187 σ_max(Q)=3.066 σ_max(K)=4.451 cond(Q)=1680.1 cond(K)=676.0
  KV头 3 | Q头 19: Pearson=+0.9806 Spearman=+1.0000 α=0.4937(残差=5.26e-03) cos(Uq,Uk)=0.1065 协方差误差=1.0038 SSR=0.007743 σ_max(Q)=2.514 σ_max(K)=4.451 cond(Q)=1758.0 cond(K)=676.0
