Python 3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: D:/2604-math-under-llm/check_qwen2.5_14b_full.py
使用设备: cuda
找到 8 个分片: ['Qwen2.5-14B-Instruct-model-00001-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00002-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00003-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00004-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00005-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00006-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00007-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00008-of-00008.safetensors']

开始分析 DeepSeek-R1-Distill-Qwen-14B，共 48 层

[分片 1/8] 加载 Qwen2.5-14B-Instruct-model-00001-of-00008.safetensors ...
  该分片包含的层: [0, 1, 2, 3, 4]
  将分析层: [0, 1, 2, 3, 4]

========== Layer 0 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
  KV头 7 | Q头 38: Pearson=+0.9049 Spearman=+1.0000 α=0.5020(残差=4.86e-02) cos(Uq,Uk)=0.1143 协方差误差=0.7031 SSR=0.010405 σ_max(Q)=3.513 σ_max(K)=3.865 cond(Q)=15.4 cond(K)=20.8
  KV头 7 | Q头 39: Pearson=+0.7059 Spearman=+1.0000 α=0.5390(残差=2.77e-01) cos(Uq,Uk)=0.1160 协方差误差=0.9228 SSR=0.019886 σ_max(Q)=7.003 σ_max(K)=3.865 cond(Q)=14.9 cond(K)=20.8

========== Layer 1 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
  KV头 0 | Q头  0: Pearson=+0.9188 Spearman=+1.0000 α=0.7253(残差=4.20e-02) cos(Uq,Uk)=0.1211 协方差误差=0.7060 SSR=0.013355 σ_max(Q)=5.304 σ_max(K)=4.887 cond(Q)=1583.6 cond(K)=454.4
  KV头 0 | Q头  1: Pearson=+0.9589 Spearman=+1.0000 α=0.5767(残差=1.22e-02) cos(Uq,Uk)=0.1169 协方差误差=0.6626 SSR=0.008809 σ_max(Q)=3.733 σ_max(K)=4.887 cond(Q)=1248.8 cond(K)=454.4
  KV头 0 | Q头  2: Pearson=+0.9649 Spearman=+1.0000 α=0.6080(残差=1.31e-02) cos(Uq,Uk)=0.1195 协方差误差=0.6875 SSR=0.011645 σ_max(Q)=3.841 σ_max(K)=4.887 cond(Q)=1546.7 cond(K)=454.4
  KV头 0 | Q头  3: Pearson=+0.9446 Spearman=+1.0000 α=0.6108(残差=2.01e-02) cos(Uq,Uk)=0.1189 协方差误差=0.6948 SSR=0.012099 σ_max(Q)=4.167 σ_max(K)=4.887 cond(Q)=1537.3 cond(K)=454.4
  KV头 0 | Q头  4: Pearson=+0.9860 Spearman=+1.0000 α=0.6396(残差=5.09e-03) cos(Uq,Uk)=0.1242 协方差误差=0.7894 SSR=0.007999 σ_max(Q)=2.750 σ_max(K)=4.887 cond(Q)=931.2 cond(K)=454.4
